address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"49 Euclid Avenue, London South, ON",London South,South F,House,3.0,,4.07,549000,https://www.zolo.ca/london-south-real-estate/49-euclid-avenue
"308-600 Talbot Street, London East, ON",London East,East F,Condo,2.0,40.0,2.77,269900,https://www.zolo.ca/london-east-real-estate/600-talbot-street/308
"21-1110 Meadowlark Ridge, London South, ON",London South,South U,Townhouse,3.0,8.0,9.42,499900,https://www.zolo.ca/london-south-real-estate/1110-meadowlark-ridge/21
"36 Grosvenor Street, London East, ON",London East,East B,House,5.0,100.0,1.78,2100000,https://www.zolo.ca/london-east-real-estate/36-grosvenor-street
"115-1680 Evans Boulevard, London South, ON",London South,South U,Townhouse,3.0,,9.09,377184,https://www.zolo.ca/london-south-real-estate/1680-evans-boulevard/115
"409-1705 Fiddlehead Place S, London North, ON",London North,North R,Condo,2.0,8.0,2.12,799000,https://www.zolo.ca/london-north-real-estate/1705-fiddlehead-place-south/409
"9 Strathcona Drive, London East, ON",London East,East O,House,4.0,75.0,8.09,559400,https://www.zolo.ca/london-east-real-estate/9-strathcona-drive
"602-521 Riverside Drive, London North, ON",London North,North P,Condo,2.0,40.0,4.12,344900,https://www.zolo.ca/london-north-real-estate/521-riverside-drive/602
"315 Pall Mall Street, London East, ON",London East,East F,House,3.0,100.0,2.81,699900,https://www.zolo.ca/london-east-real-estate/315-pall-mall-street
"506-1105 Jalna Boulevard, London South, ON",London South,South X,Condo,1.0,40.0,9.31,219500,https://www.zolo.ca/london-south-real-estate/1105-jalna-boulevard/506
"204-240 Villagewalk Boulevard, London North, ON",London North,North R,Condo,3.0,,3.39,799900,https://www.zolo.ca/london-north-real-estate/240-villagewalk-boulevard/204
"33-474 Southdale Road E, London South, ON",London South,South Q,Townhouse,3.0,,7.94,347500,https://www.zolo.ca/london-south-real-estate/474-southdale-road-east/33
"1564 Nairn Avenue, London East, ON",London East,East D,Townhouse,3.0,,6.83,410000,https://www.zolo.ca/london-east-real-estate/1564-nairn-avenue
"7006 Diane Crescent, London South, ON",London South,South V,House,3.0,,10.61,949900,https://www.zolo.ca/london-south-real-estate/7006-diane-crescent
"5-1443 Commissioners Road W, London South, ON",London South,South B,Townhouse,2.0,,7.58,624900,https://www.zolo.ca/london-south-real-estate/1443-commissioners-road-west/5
"109-729 Deveron Crescent, London South, ON",London South,South T,Condo,3.0,40.0,8.39,269900,https://www.zolo.ca/london-south-real-estate/729-deveron-crescent/109
"100-51 Sholto Drive, London South, ON",London South,South X,Townhouse,3.0,40.0,10.06,374900,https://www.zolo.ca/london-south-real-estate/51-sholto-drive/100
"21-30 Clarendon Crescent, London South, ON",London South,South P,Townhouse,3.0,,7.31,440000,https://www.zolo.ca/london-south-real-estate/30-clarendon-crescent/21
"816 Buckeye Lane, London North, ON",London North,North E,Townhouse,3.0,0.0,4.56,499999,https://www.zolo.ca/london-north-real-estate/816-buckeye-lane
